entity_id,quality,country,country_code,place,description
us-ofac.c994570229e56a7c19eb4f20e565e4da9d15a724,strong,,,"Nedjeljiste, Vlasenica, Bosnia-Herzegovina",
us-ofac.0a13cf89afcfc4f16f792d5125b788c37f831352,strong,,,"Pagarusha-Malishev, Serbia and Montenegro",
us-ofac.ce1bba62fbb29328c7afbd18bd16c5e961209076,strong,,,"Kakanj, Bosnia-Herzegovina",
us-ofac.6f769c681938a932da45eb0748de4a0752b8358c,strong,,,"Foca, Bosnia-Herzegovina",
us-ofac.7d1bc9ccff3c57259ae331d8b8aa61f35d017d99,strong,,,"Maricka, Bosnia-Herzegovina",
us-ofac.815073f68742fe22a389de85b54abdbd89999875,strong,,,"Vlaholje, nr Kalinovik, Bosnia-Herzegovina",
us-ofac.55da24ffb0287e819d405d20178acb2f5650def9,strong,,,"Banja, Serbia and Montenegro",
us-ofac.e7200a0ba79177d246b89b3f8bc7d229a86cd742,strong,,,"Foca, Bosnia-Herzegovina",
us-ofac.2f61f2d0b39decffc7eccac8665b22f409918d07,strong,,,"Visegrad, Bosnia-Herzegovina",
us-ofac.05865ef9e43c8f550d7f03500ad7414ea7de3026,strong,,,"Belgrade, Serbia and Montenegro",
us-ofac.89ef0a64345e50d5e32cb9ef00b3303c5677e908,strong,,,"Srbica, Serbia and Montenegro",
us-ofac.c54ba85b0d3df49259b7cb434679cd3ccd67d003,strong,,,"Kalinovik, Bosnia-Herzegovina",
us-ofac.39b440a12b474bd2cdd62ee6b326241bd2dbf5a6,strong,,,"Busovaca, Bosnia-Herzegovina",
us-ofac.925e969db92b81273327dfe4e175908f9909e84c,strong,,,"Zagrovic, Croatia",
us-ofac.48013dc94583308038e99934fb7bcca7bf8f9f79,strong,,,"Mostar, Bosnia-Herzegovina",
us-ofac.15ae2bbf6ecf6b3a1027f441cf46b5f7ec42e6b0,strong,,,"Petrov Gaj, Bosnia-Herzegovina",
us-ofac.81cb84d9b51ee575f9b8620d437791a204f1bc3f,strong,,,"Murgas, Bosnia-Herzegovina",
us-ofac.b388e4c4c70a77f697612ccc3ecdb4c455471bde,strong,,,"Pozarevac, Serbia and Montenegro",
us-ofac.e04eda507fe2a7268a03fa88ceb2d2bd3fd80b10,strong,,,"Belgrade, Serbia and Montenegro",
us-ofac.e1e64a4c471717509425d512a6f449f4be3b6637,strong,,,"Bozinovici, Bosnia-Herzegovina",
us-ofac.7b6ee7436250e82fadea1eb22086e91a3c35a110,strong,,,Drenovc,
us-ofac.0187e47dbe4f1c7cac54d75630f6328f20b0c3ba,strong,,,"Zagreb, Croatia",
us-ofac.8c931b7351f7de8695a6f0cfc3dda41ed3e83c30,strong,,,"Vrginmost, Croatia",
us-ofac.d7712d1df5c3250ff902ec2fd4bca3fae705bfa6,strong,,,"Racak, Serbia and Montenegro",
us-ofac.72890029c16ee4ec4735045a8c41533505fe78cb,strong,,,"Konculj, Serbia and Montenegro",
us-ofac.28e3205af0a78b7b9743156d90468230c256cc28,strong,,,"Konculj, Serbia and Montenegro",
us-ofac.71eb9f2e97388cb91e9a637bdc4a866733e0a7ba,strong,,,"Podujevo, Serbia and Montenegro",
us-ofac.58e6ecf5890fc3142744c7b662e6755fe02ea6e0,strong,,,"Listica, Bosnia-Herzegovina",
us-ofac.38662a7998d6262d60ddff5ec9fd76404d7a34c0,strong,,,"Maciteve, Serbia and Montenegro",
us-ofac.d9be1bfdfc2b021ad89ee7e2eabb5a5ebc2fd22d,strong,,,"Vlasenica, Bosnia-Herzegovina",
us-ofac.c4f29d67cfa1f683fa82c837338ca182a34566e2,strong,,,"Vlasenica, Bosnia-Herzegovina",
us-ofac.fba174583acae664a9d0c6d9a1ffe4abc8805723,strong,,,"Bratunac, Bosnia-Herzegovina",
us-ofac.0a120e7d25592d1a8cad9216251bdcf6fce42893,strong,,,"Sovljak, Serbia and Montenegro",
us-ofac.b76f4cb1d2c840d593f6a143bd3cdbae1b9ad1db,strong,,,"Matino Brdo, Bosnia-Herzegovina",
us-ofac.ad3a61a853e398da929dc0a0c2cc4ca77914fc93,strong,,,"Ravni-Cajetina, Serbia and Montenegro",
us-ofac.73e7b2ffa05bc3d222ca4e7eac5e0e9533da5057,strong,,,"Sokolac, Bosnia-Herzegovina",
us-ofac.d7b8054b71dfd83d810178522f3d57d06c5461ae,strong,,,"Senjski Rudnik, Serbia and Montenegro",
us-ofac.43c7820729bb4853cfdfc37868da8ef20097b5a8,strong,,,"Pjesevac Kula, Bosnia-Herzegovina",
us-ofac.2bd07119ef281858ffff8656774d92f1db065c1f,strong,,,"Tuzla, Bosnia-Herzegovina",
us-ofac.9566f11e3aa23289abbfc8fe996929e2f4a523c1,strong,,,"Omarska, Bosnia-Herzegovina",
us-ofac.c094468ac94887cef6c06ffaea35d4ab58b2f2c7,strong,,,"Lamovita, Bosnia-Herzegovina",
us-ofac.8c03fb11fa33e1888e863903dadf0f5beacf2f27,strong,,,"Johovac, Bosnia-Herzegovina",
us-ofac.bbfabe34641329e400800940aa5c0ba40156c521,strong,,,"Cagust, Bosnia-Herzegovina",
us-ofac.ca7a82ac1927e489c9ce089e783f9fb590309483,strong,,,"Poroj, Macedonia",
us-ofac.6d5f76b303dfa8e3abcf2361107f1f864adcf79e,strong,,,"Foca, Bosnia-Herzegovina",
us-ofac.db8f7527907aeade5688207190310c03e4fcb859,strong,,,"Bor, Serbia and Montenegro",
